Date,ARI,ATL,BAL,BOS,CHI,CIN,CLE,COL,CWS,DET,HOU,KC,LAA,LAD,MIA,MIL,MIN,NYM,NYY,OAK,PHI,PIT,SD,SEA,SF,STL,TB,TEX,TOR,WAS
8/2/15,,,DET,TB,,PIT,,,NYY,,ARI,,,LAA,SD,CHI,SEA,WAS,,CLE,ATL,,,,,COL,,SF,KC,
8/3/15,,SF,,,,,,SEA,TB,,,,CLE,,NYM,SD,,,,BAL,,CHI,,,,,,HOU,MIN,ARI
8/4/15,,SF,,,,STL,,SEA,TB,KC,,,CLE,,NYM,SD,,,BOS,BAL,LAD,CHI,,,,,,HOU,MIN,ARI
8/5/15,,SF,,,,STL,,SEA,TB,KC,,,CLE,,NYM,SD,,,BOS,BAL,LAD,CHI,,,,,,HOU,MIN,ARI
8/6/15,,MIA,,,SF,STL,,,,KC,,,,,,SD,,,BOS,HOU,LAD,,,,,,,,MIN,ARI
8/7/15,CIN,MIA,,,SF,,MIN,,,BOS,,CWS,BAL,,,STL,,,TOR,HOU,,LAD,PHI,TEX,,,NYM,,,COL
8/8/15,CIN,MIA,,,SF,,MIN,,,BOS,,CWS,BAL,,,STL,,,TOR,HOU,,LAD,PHI,TEX,,,NYM,,,COL
8/9/15,CIN,MIA,,,SF,,MIN,,,BOS,,CWS,BAL,,,STL,,,TOR,HOU,,LAD,PHI,TEX,,,NYM,,,COL
8/10/15,PHI,,,,,,,,LAA,,,DET,,WAS,,,,COL,,,,,CIN,BAL,,,,,,
8/11/15,PHI,,,,MIL,,NYY,,LAA,,,DET,,WAS,BOS,,TEX,COL,,,,,CIN,BAL,HOU,PIT,ATL,,OAK,
8/12/15,PHI,,,,MIL,,NYY,,LAA,,,DET,,WAS,BOS,,TEX,COL,,,,,CIN,BAL,HOU,PIT,ATL,,OAK,
8/13/15,,,,,MIL,,NYY,,,,,LAA,,CIN,,,TEX,COL,,,,,,,WAS,PIT,,,OAK,
8/14/15,,ARI,OAK,SEA,,,,SD,CHI,,DET,LAA,,CIN,,PHI,CLE,PIT,,,,,,,WAS,MIA,,TB,NYY,
8/15/15,,ARI,OAK,SEA,,,,SD,CHI,,DET,LAA,,CIN,,PHI,CLE,PIT,,,,,,,WAS,MIA,,TB,NYY,
8/16/15,,ARI,OAK,SEA,,,,SD,CHI,,DET,LAA,,CIN,,PHI,CLE,PIT,,,,,,,WAS,MIA,,TB,NYY,
8/17/15,,,OAK,CLE,,,,,,,TB,,CWS,,,MIA,,,MIN,,,ARI,ATL,,,SF,,SEA,,
8/18/15,,,NYM,CLE,DET,KC,,WAS,,,TB,,CWS,,,MIA,,,MIN,LAD,TOR,ARI,ATL,,,SF,,SEA,,
8/19/15,,,NYM,CLE,DET,KC,,WAS,,,TB,,CWS,,,MIA,,,MIN,LAD,TOR,ARI,ATL,,,SF,,SEA,,
8/20/15,,,MIN,KC,ATL,ARI,,WAS,,TEX,TB,,CWS,,PHI,,,,CLE,,,SF,,,,,,,,
8/21/15,,,MIN,KC,ATL,ARI,,NYM,,TEX,LAD,,TOR,,PHI,,,,CLE,TB,,SF,STL,CWS,,,,,,MIL
8/22/15,,,MIN,KC,ATL,ARI,,NYM,,TEX,LAD,,TOR,,PHI,,,,CLE,TB,,SF,STL,CWS,,,,,,MIL
8/23/15,,,MIN,KC,ATL,ARI,,NYM,,TEX,LAD,,TOR,,PHI,,,,CLE,TB,,SF,STL,CWS,,,,,,MIL
8/24/15,STL,COL,,,,,,,BOS,,,BAL,,,PIT,,,,HOU,,NYM,,,OAK,,,,,,
8/25/15,STL,COL,,,,LAD,MIL,,BOS,LAA,,BAL,,,PIT,,,,HOU,,NYM,,,OAK,CHI,,MIN,TOR,,SD
8/26/15,STL,COL,,,,LAD,MIL,,BOS,LAA,,BAL,,,PIT,,,,HOU,,NYM,,,OAK,CHI,,MIN,TOR,,SD
8/27/15,STL,,,,,LAD,,,SEA,LAA,,BAL,,,PIT,,,,,,NYM,,,,CHI,,MIN,TOR,,SD
8/28/15,OAK,NYY,,,,,LAA,,SEA,,,,,CHI,,CIN,HOU,BOS,,,SD,COL,,,STL,,KC,BAL,DET,MIA
8/29/15,OAK,NYY,,,,,LAA,,SEA,,,,,CHI,,CIN,HOU,BOS,,,SD,COL,,,STL,,KC,BAL,DET,MIA
8/30/15,OAK,NYY,,,,,LAA,,SEA,,,,,CHI,,CIN,HOU,BOS,,,SD,COL,,,STL,,KC,BAL,DET,MIA
8/31/15,,MIA,TB,NYY,CIN,,,ARI,,,SEA,,,SF,,,,PHI,,LAA,,,TEX,,,WAS,,,CLE,
9/1/15,,MIA,TB,NYY,CIN,,,ARI,,,SEA,DET,,SF,,PIT,CWS,PHI,,LAA,,,TEX,,,WAS,,,CLE,
9/2/15,,MIA,TB,NYY,CIN,,,ARI,,,SEA,DET,,SF,,PIT,CWS,PHI,,LAA,,,TEX,,,WAS,,,CLE,
9/3/15,,,,,,,,SF,,,,DET,,,,PIT,CWS,,,,,,LAD,,,,,,,ATL
9/4/15,,,,PHI,ARI,MIL,,SF,,CLE,MIN,CWS,TEX,,NYM,,,,TB,SEA,,,LAD,,,PIT,,,BAL,ATL
9/5/15,,,,PHI,ARI,MIL,,SF,,CLE,MIN,CWS,TEX,,NYM,,,,TB,SEA,,,LAD,,,PIT,,,BAL,ATL
9/6/15,,,,PHI,ARI,MIL,,SF,,CLE,MIN,CWS,TEX,,NYM,,,,TB,SEA,,,LAD,,,PIT,,,BAL,ATL
9/7/15,SF,,,TOR,,PIT,,,CLE,TB,,MIN,LAD,,MIL,,,,BAL,HOU,ATL,,COL,TEX,,CHI,,,,NYM
9/8/15,SF,,,TOR,,PIT,,,CLE,TB,,MIN,LAD,,MIL,,,,BAL,HOU,ATL,,COL,TEX,,CHI,,,,NYM
9/9/15,SF,,,TOR,,PIT,,,CLE,TB,,MIN,LAD,,MIL,,,,BAL,HOU,ATL,,COL,TEX,,CHI,,,,NYM
9/10/15,,NYM,,,,STL,DET,,,,,,,,,,,,TOR,,CHI,MIL,,TEX,,,,,,
9/11/15,LAD,NYM,KC,,,STL,DET,,MIN,,,,HOU,,WAS,,,,TOR,,CHI,MIL,,COL,SD,,BOS,OAK,,
9/12/15,LAD,NYM,KC,,,STL,DET,,MIN,,,,HOU,,WAS,,,,TOR,,CHI,MIL,,COL,SD,,BOS,OAK,,
9/13/15,LAD,NYM,KC,,,STL,DET,,MIN,,,,HOU,,WAS,,,,TOR,,CHI,MIL,,COL,SD,,BOS,OAK,,
9/14/15,SD,,BOS,,,,KC,,OAK,,,,,COL,,,DET,MIA,,,WAS,,,LAA,CIN,,NYY,HOU,,
9/15/15,SD,TOR,BOS,,,,KC,,OAK,,,,,COL,,STL,DET,MIA,,,WAS,CHI,,LAA,CIN,,NYY,HOU,,
9/16/15,SD,TOR,BOS,,,,KC,,OAK,,,,,COL,,STL,DET,MIA,,,WAS,CHI,,LAA,CIN,,NYY,HOU,,
9/17/15,,TOR,,,,,KC,,OAK,,,,,,,STL,LAA,,,,,CHI,,,,,BAL,HOU,,MIA
9/18/15,,PHI,,,STL,,CWS,SD,,KC,OAK,,,PIT,,CIN,LAA,NYY,,,,,,,ARI,,BAL,SEA,BOS,MIA
9/19/15,,PHI,,,STL,,CWS,SD,,KC,OAK,,,PIT,,CIN,LAA,NYY,,,,,,,ARI,,BAL,SEA,BOS,MIA
9/20/15,,PHI,,,STL,,CWS,SD,,KC,OAK,,,PIT,,CIN,LAA,NYY,,,,,,,ARI,,BAL,SEA,BOS,MIA
9/21/15,,,,TB,MIL,,,PIT,,CWS,LAA,,,ARI,,,,ATL,,,,,,,,CIN,,,NYY,BAL
9/22/15,,,,TB,MIL,,,PIT,,CWS,LAA,SEA,,ARI,PHI,,CLE,ATL,,TEX,,,SF,,,CIN,,,NYY,BAL
9/23/15,,,,TB,MIL,,,PIT,,CWS,LAA,SEA,,ARI,PHI,,CLE,ATL,,TEX,,,SF,,,CIN,,,NYY,BAL
9/24/15,,,,TB,,NYM,,PIT,,,,SEA,,ARI,PHI,,CLE,,CWS,TEX,,,SF,,,MIL,,,,
9/25/15,,,,BAL,PIT,NYM,,LAD,,MIN,TEX,CLE,SEA,,ATL,,,,CWS,SF,,,ARI,,,MIL,,,TB,PHI
9/26/15,,,,BAL,PIT,NYM,,LAD,,MIN,TEX,CLE,SEA,,ATL,,,,CWS,SF,,,ARI,,,MIL,,,TB,PHI
9/27/15,,,,BAL,PIT,NYM,,LAD,,MIN,TEX,CLE,SEA,,ATL,,,,CWS,SF,,,ARI,,,MIL,,,TB,PHI
9/28/15,,,TOR,,,,MIN,,,,,,OAK,,,,,,BOS,,,STL,,HOU,LAD,,,DET,,
9/29/15,COL,WAS,TOR,,,CHI,MIN,,KC,,,,OAK,,,,,,BOS,,NYM,STL,MIL,HOU,LAD,,MIA,DET,,
9/30/15,COL,WAS,TOR,,,CHI,MIN,,KC,,,,OAK,,,,,,BOS,,NYM,STL,MIL,HOU,LAD,,MIA,DET,,
10/1/15,COL,WAS,TOR,,,CHI,MIN,,KC,,,,,,,,,,BOS,,NYM,,MIL,,LAD,,MIA,LAA,,
10/2/15,HOU,STL,NYY,,,,BOS,,DET,,,,,SD,,CHI,KC,WAS,,,MIA,CIN,,OAK,COL,,TOR,LAA,,
10/3/15,HOU,STL,NYY,,,,BOS,,DET,,,,,SD,,CHI,KC,WAS,,,MIA,CIN,,OAK,COL,,TOR,LAA,,
10/4/15,HOU,STL,NYY,,,,BOS,,DET,,,,,SD,,CHI,KC,WAS,,,MIA,CIN,,OAK,COL,,TOR,LAA,,
